PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,POS,HANDED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
1. Alex Ovechkin,WSH,33,"Sep 17, 1985",Russia,"LW, RW",Right,,,,46,26,16,42,0.91,-14,212,0.12,20:33,-,-,-,-,-,Standard (1-way),✔,"Jan 10, 2008",22,,,M-NTC,13,RFA,UFA,2021,"$9,538,462",16.80%,"$9,538,462","$10,000,000","$10,000,000","$10,000,000",$0,$0
2. Henrik Zetterberg,DET,38,"Oct 9, 1980",Sweden,C,Left,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),✔,"Jan 28, 2009",28,,,,12,UFA,UFA,2021,"$6,083,333",10.70%,"$6,083,333","$1,000,000","$1,000,000","$1,000,000",$0,$0
3. Johan Franzen,DET,39,"Dec 23, 1979",Sweden,"RW, LW",Left,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),✔,"Apr 11, 2009",29,,,,11,UFA,UFA,2020,"$3,954,545",7.00%,"$3,954,545","$1,000,000","$1,000,000","$1,000,000",$0,$0
4. Marián Hossa,ARI,40,"Jan 12, 1979",Slovakia,RW,Left,,,,0,0,0,0,0,0,0,0,,-,-,-,-,-,Standard (1-way),,"Jul 1, 2009",30,,,NMC,12,UFA,UFA,2021,"$5,275,000",9.30%,"$5,275,000","$1,000,000","$1,000,000","$1,000,000",$0,$0
5. Duncan Keith,CHI,35,"Jul 16, 1983",Canada,D,Left,,,,37,1,11,12,0.32,-7,61,0.02,23:58,-,-,-,-,-,Standard (1-way),✔,"Dec 3, 2009",26,✔,,NMC,13,RFA,UFA,2023,"$5,538,462",9.80%,"$5,538,462","$3,500,000","$3,500,000","$3,500,000",$0,$0
6. Nicklas Bäckström,WSH,31,"Nov 23, 1987",Sweden,C,Left,,,,38,9,26,35,0.92,-7,86,0.1,19:16,-,-,-,-,-,Standard (1-way),✔,"May 17, 2010",22,,,M-NTC,10,RFA,UFA,2020,"$6,700,000",11.30%,"$6,700,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
7. Jeff Carter,LAK,34,"Jan 1, 1985",Canada,"C, RW",Right,,,,47,12,8,20,0.43,-16,148,0.08,16:55,-,-,-,-,-,Standard (1-way),✔,"Nov 13, 2010",25,✔,,,11,RFA,UFA,2022,"$5,272,727",8.90%,"$5,272,727","$3,000,000","$3,000,000","$3,000,000",$0,$0
8. Jonathan Quick,LAK,33,"Jan 21, 1986",United States,G,Left,,,,30,-,-,-,-,-,-,-,-,11,17,0,3.02,0.895,Standard (1-way),✔,"Jul 1, 2012",27,,,,10,UFA,UFA,2023,"$5,800,000",9.70%,"$5,800,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
9. Jordan Staal,CAR,30,"Sep 10, 1988",Canada,"C, LW",Left,,,,45,6,11,17,0.38,3,90,0.07,18:13,-,-,-,-,-,Standard (1-way),✔,"Jul 1, 2012",23,,,NMC,10,UFA,UFA,2023,"$6,000,000",10.00%,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
10. Sidney Crosby,PIT,31,"Aug 7, 1987",Canada,C,Left,,,,17,5,12,17,1,-1,46,0.11,20:31,-,-,-,-,-,Standard (1-way),✔,"Jul 1, 2012",25,,,NMC,12,UFA,UFA,2025,"$8,700,000",14.50%,"$8,700,000","$9,000,000","$9,000,000","$9,000,000",$0,$0
