"","Name","Birthday","ContractDate","AgeAtSigning","ContractLength","AAV","SalaryCap","pctCap","TOI","Goals60","Assists60","Points60","PlusMinus60","PenaltyMinutes60","EvenStrGoals60","EvenStrPoints60","ppGoals60","ppPoints60","shGoals60","shPoints60","GameWinningGoals60","Shots60","COLA","fBracket","fRate","fMarginal","sBracket","sRate","sMarginal","Local","contractSeason","prevSeason","pyTOI","pyGoals60","pyAssists60","pyPoints60","pyPlusMinus60","pyPenaltyMinutes60","pyEvenStrGoals60","pyEvenStrPoints60","pyppGoals60","pyppPoints60","pyshGoals60","pyshPoints60","pyGameWinningGoals60","pyShots60","GoalsChange","AssistsChange","PointsChange","PlusMinusChange","PenaltyMinutesChange","EvenStrGoalsChange","EvenStrPointsChange","ppGoalsChange","ppPointsChange","shGoalsChange","shPointsChange","GameWinningGoalsChange","ShotsChange","TOIChange","fTaxes","sTaxes","lTaxes","Escrow","Agent","netIncome","LANI","Country.Austria","Country.Belarus","Country.Belgium","Country.Canada","Country.Czech Republic","Country.Denmark","Country.Estonia","Country.Finland","Country.France","Country.Germany","Country.Italy","Country.Kazakhstan","Country.Latvia","Country.Netherlands","Country.Norway","Country.Russia","Country.Slovakia","Country.Slovenia","Country.Sweden","Country.Switzerland","Country.Ukraine","Country.United Kingdom","Country.United States","Team.ANA","Team.ARI","Team.ATL","Team.BOS","Team.BUF","Team.CAR","Team.CBJ","Team.CGY","Team.CHI","Team.COL","Team.DAL","Team.DET","Team.EDM","Team.FLA","Team.LAK","Team.MIN","Team.MTL","Team.NJD","Team.NSH","Team.NYI","Team.NYR","Team.OTT","Team.PHI","Team.PHX","Team.PIT","Team.SJS","Team.STL","Team.TBL","Team.TOR","Team.VAN","Team.VGK","Team.WPG","Team.WSH","Handed.L","Handed.R","Position.C","Position.L","Position.R"
"11","Matt Beleskey",1988-06-07,2015-07-01,27,5,3800000,69000000,0.0550724637681159,941.416666666667,1.40214216163583,0.637337346198106,2.03947950783394,0.828538550057537,2.48561565017261,1.14720722315659,1.7845445693547,0.254934938479242,0.254934938479242,0,0,0.509869876958485,9.24139151987253,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2015,2014,683.833333333333,0.78966609797709,1.31611016329515,2.10577626127224,0.70192542042408,5.61540336339264,0.78966609797709,1.66707287350719,0,0.35096271021204,0,0.08774067755301,0.17548135510602,9.82695588593712,0.775613978145624,-0.515741642323921,-0.0314832846478417,0.180379746835443,-0.557357594936709,0.452775073028238,0.0704658432839646,0,-0.273612463485881,0,-1,1.90555014605647,-0.0595875643343998,0.376675603217158,1343149,464925.358,0,513000,152000,1326925.642,1396763.83368421,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"26","Nick Ritchie",1995-12-05,2018-10-18,22,3,1498925,75000000,0.0199856666666667,1001.93333333333,0.598842238339211,1.01803180517666,1.61687404351587,0.179652671501763,4.31166411604232,0.53895801450529,1.43722137201411,0.0598842238339211,0.179652671501763,0,0,0.119768447667842,7.30587530773837,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2018,2017,999.716666666667,0.840238067452445,0.840238067452445,1.68047613490489,0.240068019272127,3.72105429871797,0.780221062634413,1.56044212526883,0.0600170048180318,0.120034009636064,0,0,0.180051014454095,8.94253371788674,-0.287294563843236,0.211599241466498,-0.0378476611883692,-0.251659292035398,0.158721096203254,-0.309223961878829,-0.0789652825051056,-0.00221238938053117,0.496681415929203,0,0,-0.334808259587021,-0.183019540298153,0.00221729490022187,491751.25,158882.383,0,202354.875,59957,585979.492,616820.517894737,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"28","Adam Henrique",1990-02-06,2018-07-16,29,5,5825000,75000000,0.0776666666666667,1440.45,0.999687597625742,1.08299489742789,2.08268249505363,0.458190148911798,0.833072998021452,0.708112048318234,1.41622409663647,0.249921899406435,0.541497448713944,0.0416536499010726,0.124960949703218,0.333229199208581,6.28970113506196,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2018,2017,1489.66666666667,0.805549339897069,0.805549339897069,1.61109867979414,-0.805549339897069,1.53054374580443,0.483329603938241,1.08749160886104,0.241664801969121,0.402774669948534,0.0805549339897069,0.12083240098456,0.0805549339897069,5.71940031326919,0.241001076052623,0.344417832390341,0.292709454221482,-1.56879215985745,-0.45570128243306,0.465070714784346,0.302285079808307,0.0341675633771853,0.344417832390341,-0.482916218311407,0.0341675633771853,3.13667025350874,0.099713394858838,-0.0330387111210562,2092399,734250.358,0,786375,233000,1978975.642,2083132.25473684,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"29","Ryan Getzlaf",1985-05-10,2013-03-08,27,8,8250000,64300000,0.128304821150855,1771.2,0.372628726287263,1.55826558265583,1.93089430894309,-0.372628726287263,2.54065040650406,0.237127371273713,1.11788617886179,0.13550135501355,0.779132791327913,0,0.0338753387533875,0.13550135501355,6.26693766937669,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2012,2011,1463.95,0.778715120051914,2.33614536015574,3.11486048020766,0.573790088459305,1.43447522114826,0.491820075822262,2.00826530960757,0.286895044229653,1.10659517060009,0,0,0.163940025274087,4.79524573926705,-0.52148261065944,-0.332975760313159,-0.380102472899729,-1.64941645696219,0.77113579171506,-0.517857478922012,-0.443357322603838,-0.527697122209317,-0.295918858108334,0,0,-0.173469963866305,0.306906467390885,0.209877386522764,2989649,1056775.358,0,1113750,330000,2759825.642,2905079.62315789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"37","Patrick Eaves",1984-05-01,2017-06-23,33,3,3150000,73000000,0.0431506849315069,1296.91666666667,1.48043436355458,0.879007903360535,2.35944226691512,-0.0925271477221615,1.11032577266594,0.879007903360535,1.52669793741567,0.60142646019405,0.832744329499454,0,0,0.0925271477221615,9.66908693696588,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2017,2016,700.2,0.942587832047986,0.51413881748072,1.45672664952871,-0.428449014567266,2.31362467866324,0.51413881748072,0.856898029134533,0.428449014567266,0.599828620394173,0,0,0.171379605826907,7.36932305055698,0.570606274789273,0.70967037203624,0.619687720876438,-0.784041637216475,-0.520092527147722,0.70967037203624,0.781656492964081,0.403729358092912,0.388303760751233,0,0,-0.460104093041187,0.31207261109758,0.852208892697325,1102649,378475.358,0,425250,126000,1117625.642,1176448.04421053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"39","Rickard Rakell",1993-05-05,2016-10-14,23,6,3789444,71400000,0.0530734453781513,1156.8,1.03734439834025,1.19294605809129,2.23029045643154,-0.0518672199170125,0.985477178423237,0.829875518672199,1.71161825726141,0.20746887966805,0.518672199170125,0,0,0.363070539419087,8.7655601659751,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2016,2015,892.233333333333,0.605222849030523,1.4794336309635,2.08465647999402,0.403481899353682,0.672469832256136,0.470728882579295,1.4794336309635,0.134493966451227,0.605222849030523,0,0,0.0672469832256136,7.06093323868943,0.713987500640336,-0.193646789471478,0.0698599399158226,-1.12854906254803,0.465459313047487,0.762958572087203,0.156941562932227,0.542588750576302,-0.143006249679832,0,0,4.39906062701706,0.241416661178072,0.296521836589831,1339243.28,463521.41,0,511574.94,151577.76,1323526.61,1393185.90526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"45","Derek Grant",1990-04-20,2019-06-20,29,1,700000,79500000,0.00880503144654088,654.266666666667,0.366822906052578,0.917057265131445,1.28388017118402,-0.550234359078867,1.28388017118402,0.366822906052578,1.19217444467088,0,0,0,0.0917057265131445,0.0917057265131445,6.78622376197269,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2019,2018,732.6,0.982800982800983,0.982800982800983,1.96560196560197,0.245700245700246,0.900900900900901,0.737100737100737,1.63800163800164,0.245700245700246,0.245700245700246,0,0.0819000819000819,0,5.32350532350532,-0.626757693091502,-0.0668942327287549,-0.346825962910128,-3.23945384145099,0.425106990014265,-0.502343590788669,-0.272177501528429,-1,-1,0,0.119726920725494,0,0.274766032825947,-0.106925106925107,196149,52625.358,0,94500,28000,328725.642,346026.991578947,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"58","Jakob Silfverberg",1990-10-13,2019-03-01,28,5,5250000,75000000,0.07,1383.43333333333,0.737296099077175,0.997518251692649,1.73481435076982,0.260222152615474,0.780666457846421,0.607185022769438,1.30111076307737,0.0867407175384912,0.346962870153965,0.0433703587692456,0.0867407175384912,0.0867407175384912,8.11025708984893,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2018,2017,1460.18333333333,0.945086804168426,1.06835899601648,2.01344580018491,0.410907306160185,0.821814612320371,0.698542420472315,1.60253849402472,0.205453653080093,0.369816575544167,0.0410907306160185,0.0410907306160185,0.205453653080093,9.32759584983621,-0.219864148112918,-0.0663079962708904,-0.138385373666128,-0.366713249644604,-0.0500698744669059,-0.130782891669064,-0.188093909800774,-0.577808833096403,-0.0617974068808946,0.0554779172589935,1.11095583451799,-0.577808833096403,-0.130509380936424,-0.0525618929129905,1879649,657775.358,0,708750,210000,1793825.642,1888237.51789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"70","Andrew Cogliano",1987-06-14,2018-01-12,31,3,3250000,73000000,0.0445205479452055,1240.93333333333,0.773611260341678,0.918663371655743,1.69227463199742,0.531857741484904,1.25711829805523,0.628559149027614,1.498871816912,0,0,0.145052111314065,0.19340281508542,0.0967014075427098,8.60642527130117,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2017,2016,1183.53333333333,0.456260913648397,1.16600011265702,1.62226102630541,0.101391314144088,1.41947839801724,0.354869599504309,1.47017405508928,0,0,0.101391314144088,0.152086971216132,0.152086971216132,6.64113107643779,0.695545766030347,-0.212124114154377,0.043158039647577,4.24559471365639,-0.114380113278792,0.771239773442417,0.0195199756949718,0,0,0.430616740088105,0.271659324522761,-0.36417033773862,0.295927632242661,0.048498845265589,1139649,391775.358,0,438750,130000,1149825.642,1210342.78105263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"86","Ryan Kesler",1984-08-31,2015-07-15,31,6,6875000,69000000,0.0996376811594203,1580.85,0.759085302210836,1.02476515798463,1.78385046019546,-0.189771325552709,2.84656988329063,0.531359711547585,1.25249074864788,0.189771325552709,0.41749691621596,0.0379542651105418,0.113862795331625,0.151817060442167,7.78062434766107,0.95,622050,0.37,167307.5,1181484,0.133,116662.73,0,2015,2014,1679.88333333333,0.892919151131527,0.6429017888147,1.53582093994623,-0.535751490678916,2.89305804966615,0.535751490678916,0.928635917176788,0.32145089440735,0.571468256724177,0.0357167660452611,0.0357167660452611,0.178583830226305,8.5363070848174,-0.149883501491814,0.593968434702849,0.16149637877572,-0.645784792288256,-0.0160688674673767,-0.00819741840711573,0.348742521671642,-0.409641320480426,-0.269431134094527,0.0626456231352331,2.1879368694057,-0.149883501491813,-0.0885257207417457,-0.0589525066224837,2480899,873900.358,0,928125,275000,2317075.642,2439026.99157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
